title,u-time,content
'We will still resist': West Bank village digs in as demolition looms,,"
      A hair-raising dash across a busy highway is one of two ways of reaching the West Bank Bedouin community of Khan al-Ahmar. The other is to navigate a rugged and barely passable dirt track.
  
      Located between two Israeli settlements, the ramshackle village is home to more than 150 Palestinians Bedouins who raise sheep and goats, but Israel views this community as illegal. A combination of corrugated iron, tarpaulins, shipping pallets and other refuse comprise most homes in this impoverished community that lacks running water and connection to the electrical grid.
  
      Khan al-Ahmar has been at the center of a legal battle stretching back almost a decade. Parts of the West Bank are run by the Palestinian Authority, but more than half of it remains under full Israeli control, including the land on which Khan al-Ahmar stands.
  "
Democrats should maybe slow their roll on pushing Alexandria Ocasio-Cortez as their next big star,,"
      Since her massive upset victory over New York Democratic Rep. Joe Crowley last month, Alexandria Ocasio-Cortez has been touted as the fastest-rising star in the Democratic firmament. Potential 2020 presidential contenders seized on her victory as a sign that unapologetic liberalism is where the party is headed. Suddenly would-be national candidates were falling all over themselves to call to abolish ICE. Think pieces over What It All Means – including "
The age of Alexandria Ocasio-Cortez,,"
      It was nearly 2 a.m., a few hours after she felled the 10-term incumbent Rep. Joe Crowley, and Alexandria Ocasio-Cortez was tweeting. 
  
      She thanked the district that backed her, and Crowley, too, for his “service.” Her win, she said"
Supreme Court won't revive lawsuit by American families against PLO,,"
      The Supreme Court declined on Monday to revive a lawsuit brought by 11 American families against the Palestinian Authority and Palestine Liberation Organization. 
  
      The ruling, issued without comment from the justices, is a loss for victims and their family members who brought suit under federal law for seven terror attacks committed during a wave of violence in Israel. 
  
      In 2015, a "
Ahed Tamimi: Palestinian teen who slapped Israeli soldier freed from prison,,"
      Palestinian teenager Ahed Tamimi has been freed from an Israeli prison after serving an eight-month prison sentence for slapping a soldier, according to a spokesman for Israel’s Prison Authority. Tamimi’s mother, Nariman Tamimi, was also released. 
  
      Early Sunday morning, the two were taken from the HaSharon prison in central Israel to a West Bank border crossing, then on to their village of Nabi Saleh and released. 
  
      The young activist received a hero’s welcome upon returning home. Video from Nabi Saleh showed dozens of her supporters waved Palestinian flags and cheered for Tamimi, who turned 17 in prison. As she walked through the crowd, many lined up to hug the teenager. 
  "
Shimon Peres Fast Facts,,"
      Here’s a look at the life of former president of Israel Shimon Peres.
  "
The UK's biggest left-wing party is mired in an anti-Semitism crisis,,"
      On Friday, Jewish families around the world will gather to celebrate Passover and recount the exodus from Egypt.
  
      But for many British Jews, an altogether more contemporary subject is also likely to be on the agenda at the festive meal.
  
      On Monday, the leadership of Britain’s biggest Jewish groups organized an unprecedented demonstration outside the UK Parliament, accusing Labour leader Jeremy Corbyn of turning a blind eye to a resurgence of anti-Semitism in British politics, particularly within his own party.
  "
The Israeli-Palestinian conflict: What you need to know,,"
      US President Donald Trump will host Palestinian Authority leader "
Trump vows to work as 'mediator' for Israeli-Palestinian peace,,"Trump said Israelis and Palestinians must achieve peace through direct negotiationsHe called on Palestinian leaders to end incitement against Israel
      President Donald Trump on Wednesday vowed to work as a “mediator, an arbitrator or a facilitator” to help broker peace between the Israelis and Palestinians as he welcomed Palestinian Authority President Mahmoud Abbas to the White House.
  "
Ariel Sharon Fast Facts,,"
      Here’s a look at the life of former Israeli Prime Minister Ariel Sharon.
  
      Personal:"
Top US officials warn Trump against moving US embassy to Jerusalem,,"Trump is mulling the possibility of changing US policy toward JerusalemSome top advisers urge him to make good on his campaign promise
      Top officials at the State Department, Department of Defense and the US intelligence community are urging the White House not to recognize Jerusalem as Israel’s capital, warning that such a decision would be "
Trump will not announce promised embassy move during Israel trip,,"
      President Donald Trump has decided he will not announce plans to move the US embassy to Jerusalem during his trip to Israel next week, two administration officials told CNN Wednesday.
  "
Helen Thomas Fast Facts,,"
      Here’s an in-depth look at the life of legendary White House reporter Helen Thomas.
  "
Lieberman defends Trump's controversial Israel ambassador pick,,"The former senator defended Trump's selection for Israel ambassadorTrump condemned a UN resolution halting settlement construction as ""unfair"" to Israel 
      Former Sen. Joe Lieberman on Thursday defended President-elect Donald Trump’s controversial selection as the next Israel ambassador, explaining that “some of the things he said really don’t reflect what he believes.” 
  "
"CNN 10 - May 4, 2017",,"This page includes the show Transcript
      May 4, 2017"
Soviet papers: Palestinian President was a KGB agent,,"Documents say that Abbas, who completed graduate work in Moscow in 1982, was a KGB agent Palestinian leaders decry the report as a ""smear campaign"" targeted at Abbas
      Once-secret Soviet documents claim Palestinian President Mahmoud Abbas was once a KGB agent codenamed “Mole.” 
  "
Coming soon: 9 of the best attractions opening in 2016,,
9/11: Osama bin Laden's spectacular miscalculation,,"For Osama bin Laden, September 11 was a great tactical victory but a huge strategic failure, writes Peter Bergen15 years later, US still embroiled in the Mideast, despite bin Laden's aim of reducing American involvement, he saysThe mistake made by George W. Bush in launching the Iraq War also looms large, Bergen says"
CNN/ORC poll: Majority of Americans oppose Netanyahu invite,,"
      A large majority of Americans believe that Republican congressional leaders should not have invited Prime Minister Benjamin Netanyahu to speak to Congress without consulting the White House, according to a new CNN/ORC survey.
  
      The nationwide poll"
Will peace be buried with Shimon Peres?,,"Amanpour interviewed Shimon Peres at least five times throughout his careerAmanpour: ""People are wondering whether not just Oslo, but the entire two-state solution, has been consigned to history.""
      Reacting to the news that her 93-year-old "
Heard the one about the nuns and the Jewish settlers?,,"
      A literal minefield in the West Bank would be the perfect setting for a suspense movie or perhaps even a horror or drama. Anything but a comedy. 
  
      But that’s exactly where first-time Palestinian film director Basil Khalil sets “Ave Maria,” a comic short about a clash of cultures. 
  
      Without giving away too much of the plot, it’s about religious Jewish settlers who crash their car in the West Bank right before the Sabbath. 
  "
Israeli police make arrests in 'Loaves and Fishes' church arson,,"Police have not said exactly how many arrests were made Christians say the church is where Jesus multiplied five loaves of bread and two fish to feed 5,000 followers
      Israeli police made several arrests Sunday in connection with last month’s arson at the historic Church of Multiplication, authorities said.
  "
Making scents of tragedy: the most beautiful product of war zones?,,"Entrepreneur creates luxury fragrance brand with ingredients from war and disaster zonesThe ""7 Virtues"" brand has tapped Afghanistan, Haiti and now Rwanda
  "
'Soldiers without weapons': Palestine football's painful journey,,Palestine will make its debut at a major football tournament on MondayIt will play its first match of the Asian Cup against Japan in AustraliaPalestine was first recognized by FIFA in 1998
"Jerusalem seminary defaced with anti-Christian slurs, torched",,"NEW: ""Revenge,"" references to ""redemption (of) Zion"" were on the mosque, seminaryBoth buildings were defaced with anti-Arab and anti-Christian slursPalestinian official: A ""holy war"" is underway against Muslims, Christians"
Netanyahu offers to resume peace talks,,"Israeli Prime Minister Benjamin Netanyahu says he is open to immediate peace talksHis statement comes a day after Palestinian leadership said it cannot be bound by Oslo Accords
      A day after the leader of the Palestinian Authority announced that Palestinians were stepping away from the Oslo Accords, Israeli President Benjamin Netanyahu asked for peace talks to resume.
  "
First on CNN: House Democrats to dine with Israeli ambassador,,"
      A small group of House Democrats will meet with Israeli Ambassador Ron Dermer over dinner Monday night in the hopes of starting to repair a damaged relationship, Rep. Steve Israel told CNN on Monday.
  
      But just how challenging that task will be was crystal clear Monday afternoon when White House Chief of Staff Denis McDonough said the administration would not overlook Israeli Prime Minister Benjamin Netanyahu’s flip-flop"
Iran's Jewish community in Esfahan: We 'feel at home',,"Jews have been living in Iran for more than 2,500 years1,500 Jews call Esfahan home despite tensions between Iran and IsraelCommunity leader: ""Israel and Iran are countries, and we consider ourselves Iranian Jews"""
Will Netanyahu win seal Iran deal?,,"Benjamin Netanyahu looked set for re-election after Tuesday's pollDanielle Pletka: Victory may spur U.S. to more concessions in Iran talks
  "
Israel's PM Netanyahu: No Palestinian state on my watch,,"NEW: ""Impunity won't bring peace, only justice will,"" chief Palestinian negotiator saysCreating Palestinian state is ""simply giving a base for attacks to the radical Islam,"" PM saysBenjamin Netanyahu's words come as he courts conservative voters a day before elections"
"10 things to know before visiting Israel, the West Bank and Gaza",,
Mideast peace remains the goal -- but still distant -- after Israeli elections,,"The White House says it would ""reassess"" the relationship between the United States and IsraelThat comes after Netanyahu made campaign statements against a Palestinian stateNetanyahu rolled back the comments after his election victory"
Boehner: White House behavior to Netanyahu 'reprehensible',,"
      House Speaker John Boehner said his upcoming trip to Israel is no “victory lap” to celebrate Prime Minister Benjamin Netanyahu’s re-election – and that it was planned months ago, before the Israeli election. 
  
      The Ohio Republican will travel to Israel this week, while Congress is on recess. He said his plans were made before the rift between Netanyahu and President Barack Obama over how to deal with Iran and Palestine burst into the open. 
  
      "
Four years of hell: Aid groups say world is failing Syria's civilians,,"Report: Syrian conflict is ""a stain on the conscience of the international community""U.N. resolutions aimed at helping civilians have failed to change the situation, it saysAt least 220,000 people are estimated to have been killed in four years of war"
How a skeptical anchorman became a Buddhist,,"
  Editor’s Note: Dan Harris is author of the book "
Desperation for Palestinians trapped in Syrian refugee camp,,"ISIS and other rebel groups control most of the refugee camp, activists say""Never has the hour been more desperate"" in the camp, U.N. says""""Reports of kidnappings, beheadings and mass killings,"" PLO official says"
"Report about Israeli soldiers in 2014 war: 'If you shoot someone in Gaza, it's cool'",,"A group of Israeli veterans called Breaking the Silence releases 240-page report of testimony from Israeli soldiersThe report outlines various tactics used by soldiers in the Israeli military during the 50-day war in Gaza in 2014Israeli military statement: Group ""refused to provide any proof of these claims"""
Palestine Marathon highlights race for recognition,,"More than 3,000 runners came to the West Bank ""It means that you run for peace,""  Sana Jamaani says 
      In the biblical city of Bethlehem, Sana Jamaani is warmed up and ready to run. This isn’t her first race, but she says it is her most important.
  "
'Yarmouk is my soul:' Defiant survivors stuck between ISIS and Syrian bombs,,"ISIS raided Yarmouk refugee camp near Damascus on April 118,000 Palestinian refugees remain in the camp, cut off from vital aidOne defiant elderly resident told CNN: ""I will not leave the Yarmouk camp even if I am 75 or 76 years old"""
"Palestinians join International Criminal Court, permitting war crimes inquiries",,"NEW: Israel rejects Palestinian Authority's membership in the ICC, says it is not eligible to join the bodyMembership gives the ICC jurisdiction over alleged crimes committed in Palestinian territories since last JuneIsrael and the United States opposed the move, which could open the door to war crimes investigations against Israelis"
Can Mideast peace efforts move past yearlong stall?,,"Many jaded about prospects for lasting peace Palestinians want official recognition from Israeli government
      Israeli Prime Minister Benjamin Netanyahu got about 30 seconds into his speech on the evening of the Knesset’s swearing-in ceremony when he ran into his problems. After thanking members of the legislative body, Netanyahu talked about “maintaining security and striving for peace.”
  "
Vatican to officially recognize Palestinian statehood in new treaty,,"New treaty is thought to mark the first time the Holy See has formally recognized Palestinian statehood in a legal documentWednesday's announcement seems sure to polish the Pope's image as a one-man United Nations
      The Vatican announced Wednesday that it had brokered a treaty with the “state of Palestine,” upsetting Israeli advocates and propelling Pope Francis into the heart of yet another geopolitical fray.
  "
Israel cries foul over FIFA suspension talk,,"NEW: Israel says it approved 95% of travel; Palestinians say travel bans ensnare coaches, goaliesFIFA members could vote on Palestinian bid to suspend Israel, which FIFA leader hopes to avoid Palestinians say Israel restricts players' movements; Israel says they're mixing sports, politics"
Time to end Israel's impunity,," Tariq Abukhdeir's mother says he was beaten unconscious last yearSuha Abukhdeir: We must ensure this never happens again to any child
  "
CNN exclusive: 'ISIS recruits Afghans' in chilling video,,"There's no shortage of battle-hardened militants in Afghanistan, writes Nick Paton-WalshConcerns are growing about how ISIS may expand into the countryA senior U.S. official fears disaffected Taliban might be attracted to the group"
Israeli settlers reportedly chop down 800 Palestinian olive trees,,"Report based on source described as ""a local activist""March by right-wingers, escorted by police, on the Aqsa Mosque compound also reportedNo comment yet from Israeli officials"
Pope's 'angel' remark sparks devilish debate,,"Press and commentators have traded jabs and stories about whether Pope called Palestinian leader an ""angel""PA President Mahmoud Abbas visited Vatican this weekend to witness canonization of 2 Palestinian nuns
      Just a few days after angering Israeli advocates by "
"In religious and political gesture, Pope confers sainthood on two Palestinians",,"NEW: ""Palestine is not a land of war; it is rather a land of sanctity and virtue,"" says Mahmoud Abbas, Palestinian Authority president2,000 Palestinians gathered in St. Peter's Square to celebrateThe two women canonized were humble servants of their people."
Egyptian court rules that Hamas is not a terrorist organization,,"An Egyptian court had ruled Hamas a terrorist organization a few months agoAn appeals court overturns that ruling, saying the other court ""lacked jurisdiction""Hamas has faced criticism, had some members arrested since military takeover"
What ISIS -- and the West -- gets wrong about 'jihad',,"The term ""jihad"" has become associated with carnage and terrorismThe Western notion of jihad meaning ""holy war"" is not entirely accurate, argues Abed AwadMost Arabic dictionaries define it as the striving, effort to do good, Awad explains"
France summons U.S. ambassador after reports U.S. spied on presidents,,"Lawmaker: Presidents Barack Obama and François Hollande to discuss spying claims""We are not targeting and will not target the communications of President Hollande,"" U.S. spokesman saysFrance says it previously sought clarification from U.S. about what it calls ""unacceptable facts"""
Ho Feng Shan: The 'Chinese Schindler' who saved thousands of Jews,,"Ho Feng Shan was the consul general in Vienna for the Nationalist Chinese government from 1938 to 1940He rescued tens of thousands of Jews by issuing visas to ShanghaiHowever, his heroic acts only came to light after his death"
"Fire at 'Loaves and Fishes' church was arson, Israeli police say",,"Police question 16 Jewish youths and later release them""Idols will have their heads cut off,"" says graffiti in Hebrew outside the church
      A church at the site in Israel where Christians believe Jesus fed 5,000 people with five loaves and two fish has been badly damaged by arson, police said Thursday.
  "
How Jimmy Carter did something no one has done since,,"Julian Zelizer: Accord between Israel, Egypt an enduring achievement for Jimmy CarterZelizer: Officials grappling with other countries in region should study how he pulled it off 
  "
Nixon's own 9/11: When terrorism came of age,,"The 1970s were a time of rapidly evolving threats as radical elements exploited a new age of mass international air travel and televisionHijackings also shaped a debate about the new scourge of international terrorIn response, the U.S. federal government was called into action to address the threat "
U.S. asks for lower costs for Palestinians in terror case,,"The U.S. is warning a federal court that demanding too much bond from the Palestinian Authority could destabilize the U.S.'s key Palestinian interlocutor.The State Department worries that without the Palestinian Authority, terror groups that want to wipe out Israel would fill the void, with regional implications.
      The U.S. is siding with the Palestinian Authority in a federal court case seeking restitution for families of victims of terror attacks in Israel.
  "
Schoolteachers among six in Israel charged with supporting ISIS,,"Four schoolteachers are among six men arrested in Israel on charges of supporting ISISAn elementary teacher in Hura sang songs praising ISIS to his students, police say""We will not allow anyone to contaminate our children,"" Israeli education minister says"
"Theodore Bikel, 'Sound of Music' star, dies at 91",,"Theodore Bikel was is original B'way ""Sound of Music""Actor later logged 2,200 performances in ""Fiddler on the Roof""
      Theodore Bikel, a prolific performer and political activist who created the role of Captain Georg Von Trapp in the original Broadway production of “The Sound of Music” and defined the role of Tevye the Milkman during more than 2,200 performances of “Fiddler on the Roof,” has died. He was 91.
  "
Jimmy Carter on cancer: Future in God's hands,,Former President Jimmy Carter gave a press conference Thursday morning to discuss his cancer diagnosis He said doctors found spots of melanoma on his brainHe had a mass removed from his liver in August
Carter: 'I wish I'd sent one more helicopter' for U.S. hostages in Iran,,"Carter wishes he had sent one more helicopter to rescue hostages.Carter is undergoing treatment for brain and liver cancer.
      Former President Jimmy Carter, who held his press conference Thursday announcing he had cancer on his brain, was asked what he would have done differently during his time in the White House.
  "
Divorce papers alleged violence in Chattanooga shooter's home,,"Mohammad Abdulazeez' mother claimed she was beaten by husband during marriageShe and shooter's father ended dispute a month later, with stipulations
      The 24-year-old man who killed five U.S. service members and wounded two others in Chattanooga came from a violent home, according to allegations made by his mother in court documents obtained by CNN.
  "
Palestinian dies from injuries after arson attack that killed toddler son,,Thousands join the funeral procession of a man killed in an arson blamed on Jewish extremistsHis toddler son died in the attack on the family home in a West Bank village eight days agoThe boy's mother and brother remain in critical condition with burns over 80% of their bodies 
"Praise, condemnation for U.N. Gaza report from two sides in conflict",,U.N. report found both Israel's military and Palestinian armed groups broke the law Israel says U.N. Commission of Inquiry was biased against it from the startPalestinian leaders say the report backs their position that Israel has committed war crimes
Suspected Jewish extremists set Palestinian Bedouin family's tent afire,,"Suspected Jewish extremists set a Palestinian Bedouin tent on fire in West Bank, official saysNo one was hurt, but it comes at a time of increased tension after deadly arson attack
      Suspected Jewish extremists set a tent belonging to a Palestinian Bedouin family on fire in an overnight arson attack, a Palestinian official told CNN on Thursday, two weeks after another arson on a Palestinian home "
Bernie Sanders campaign apologizes for booting pro-Palestine activists,,"
      Bernie Sanders’ presidential campaign apologized to a group of pro-Palestinian student activists who were booted from a campaign rally in Boston and threatened with arrest.
  
      The activists, members of Boston Students for Justice in Palestine, showed up at the Saturday rally with a large banner asking “Will ya #Feel the Bern 4 Palestine??!” before a campaign staffer asked them to either leave the event or put the sign away. A police officer then told the students to leave or they would be arrested.
  
      The students posted video of the interaction online.
  "
Vote allows raising of Palestinian and Vatican flags at United Nations,,"
      The U.N. General Assembly adopted a resolution Thursday allowing what it officially recognizes as the “State of Palestine” and the Vatican to raise their flags outside of U.N. Headquarters and U.N. offices.
  
      In a 119-8 vote, with 45 abstentions, the General Assembly approved a move allowing the two nonmember observer states to raise their flags following the flags of member states.
  
      "
"ISIS tried to silence him, but pianist won't stay quiet",,"Musician who played to fight oppression left his Syria home after his piano was torched Aeham Ahmed feared he was broken, too, but a gift and the songs of children have given him new hope 
      “Shut up or I will throw you on top and burn you along with it!” barks a jihadi in black.
  "
Al-Wuhayshi's death deprives al Qaeda of a dynamic heavyweight,,"To many observers, Nasir al-Wuhayshi's death is the most significant blow to al Qaeda since the killing of militant Anwar al-AwlakiAl-Wuhayshi rejected ISIS, swore an oath to al Qaeda leader Ayman al-Zawahiri and was appointed al Qaeda's second in commandHis successor is military commander Qasim al-Raymi, who's considered al Qaeda's  operational brains"
U.S. investigating report email account linked to CIA director hacked,,"Law enforcement officials confirmed that they are investigating a New York Post report about hacking high profile email accountsAmong those affected are reportedly CIA Director John Brennan and DHS secretary Jeh Johnson
      The FBI and Secret Service are investigating reports that non-government personal accounts associated with CIA Director John Brennan as well as Department of Homeland Security Secretary Jeh Johnson were hacked, law enforcement officials told CNN.
  "
Israeli police limit access to Old City of Jerusalem after deadly attack,,"A Palestinian official accuses Israelis of ""arrogance and recklessness"""
Palestinian toddler's death sparks protests; teen killed,," Israel military says Palestinian teen hurled a Molotov cocktail at an army post Laith Fadel Khaldi, 17, was pronounced dead after suffering bullets wounds 
      A Palestinian teen died Saturday after he was shot by Israeli troops during clashes sparked by the "
"Israeli PM Benjamin Netanyahu criticized for saying Holocaust was mufti's idea, not Hitler's",,"NEW: Israel's Prime Minister cites testimony indicating the grand mufti was an ""originator"" of Jews' destruction in EuropeNEW: Speaking next to Netanyahu, Chancellor Angela Merkel says Germany, alone, was responsible for the HolocaustNetanyahu says Adolf Hitler once ""didn't want to exterminate the Jews,"" then the grand mufti told him to ""burn them"""
"FIFA: Without Sepp Blatter, who is running football?",,FIFA president Sepp Blatter banned for 90 daysVice president Michel Platini also hit with a suspensionIssa Hayatou has taken interim charge of the organization
"Israelis and Palestinians -- rage, fear and misunderstanding",,"Aziz Abu Sarah: Both sides see the opposite as ""the other,"" creating bitterness and tension that erupts in unnecessary violenceAbu Sarah: Love, peace, and a commitment to nonviolence is the only way to ""break the cycle of violence""
  "
Jerusalem mayor: 'Lies' driving surge in Israeli-Palestinian violence,,"NEW: Jerusalem's mayor accuses Palestinian Authority and Arab leaders of using lies to incite violenceIt follows an upsurge in violence resulting in both Palestinian and Israeli deaths in the past week
      Jerusalem’s mayor is accusing the Palestinian Authority and Arab leaders of spurring the latest incidents of Israeli-Palestinian violence with “incitement and lies.”
  "
Mahmoud  Abbas: Palestinians 'cannot continue to be bound' by Oslo Accords,,"NEW: Security coordination between PLO and Israel is canceled, PLO official saysNEW: Benjamin Netanyahu's office says Mahmoud Abbas' speech ""encourages incitement and lawlessness""Abbas accuses Israel of ""continuously"" violating the Oslo Accords"
Israeli Palestinian conflict: Two viewpoints; one tragic outcome,,"Palestinians say only the end of the Israeli occupation will address the causes of violenceBut Jewish settlers in the West Bank don't buy it and say they're there to stayU.N. leader warns the region is ""on the brink of another catastrophic period of violence"""
Historic raising of Palestinian flag at United Nations,,New: Palestinian leader Mahmoud Abbas says Palestinian Authority not bound by the Oslo Peace Accords Palestinian flag raised outside United Nations for the first time Palestinians see as a symbolic step toward solidifying their presence in the international arena
Why Netanyahu's Holocaust remarks are wrong -- and damaging,,"Israeli Prime Minister Benjamin Netanyahu sparks controversy with Holocaust commentsTimothy Snyder: If falsehood is added to real history, the real history seems more suspect
  "
FIFA presidential election: Who is standing in February 2016?,,"Deadline for submitting candidacies for FIFA election has passed FIFA presidential election will take place on February 26, 2015Candidates are vying to succeed Sepp Blatter, who resigned in June"
EU: Products from West Bank and Golan cannot be labeled 'from Israel',,"Products from the West Bank, Golan Heights and Gaza must bear label of ""Israeli settlement""The European Union is Israel's largest trading partnerTrade from territories said to be less than 1% of the total"
"Netanyahu retraction: Nazis, not mufti, decided on Holocaust",,"NEW: ""In no way did I intend to absolve Hitler of his responsibility for the Holocaust,"" Benjamin Netanyahu saysNetanyahu says he never meant to claim an Islamic leader persuaded Hitler to adopt Final SolutionNetanyahu's earlier remarks spurred criticism in both Israel and Palestinian territories"
Russian plane crash: The five most common reasons for airliner disasters,,"As aircraft become more reliable, crashes caused by pilot error have increased, Simon saysBad weather accounts for around 10% of aircraft losses, he addsDespite improvements in design quality, equipment failures account for 20% of aircraft losses, he says"
