title,time,content
<h1>UN says forced expulsion of Palestinians a ‘violation’ of law</h1>,Published On 2 Jun 2021,United Nations representatives have denounced the potential forced expulsion of Palestinian families from their homes in occupied East Jerusalem’s Sheikh Jarrah neighbourhood as a “violation of international law”.
<h1>Why Israel is angry</h1>,Published On 2 Jun 2021,"We are witnessing a new dawn for the Palestinian national movement. Today, we are the most optimistic and hopeful we have ever been in the past two decades. With Jerusalem at the centre of this resurgent national spirit, the Palestinian movement once again stands united in resisting the Israeli occupation, apartheid, political persecution and colonial violence."
<h1>Facebook employees demand change around Palestine posts: Report</h1>,Published On 2 Jun 2021,Nearly 200 Facebook employees have signed a letter urging the company’s executives to address concerns that pro-Palestine voices on the social media site are being suppressed by content moderation systems.
<h1>Israel losing US perception battle as Palestinian sympathy grows</h1>,Published On 1 Jun 2021,"Last month, as Israel carried out an "
<h1>Egypt used Gaza ceasefire to ‘improve its standing in Washington’</h1>,Published On 3 Jun 2021,"As the first Israeli missile landed on the besieged Gaza Strip, marking the start of an 11-day military offensive, Egypt saw a “tremendous opportunity” to assert itself politically in the region and, as many analysts say, to prove itself to the new US administration."
<h1>Fear barrier broken despite hundreds of arrests in Jerusalem</h1>,Published On 1 Jun 2021,"Hundreds of Palestinians have been arrested over the past month and a half in occupied East Jerusalem, in what lawyers said was a direct response to the Israeli police force losing its standing."
"<h1>‘Staggering’: WHO says 200,000 Palestinians in need of health aid</h1>",Published On 2 Jun 2021,"Officials from the United Nations and Red Cross have visited the besieged Gaza Strip to review the destruction from Israel’s 11-day bombardment, including damage to homes, schools, hospitals and other critical infrastructure."
<h1>Racist oppression is not contained within national borders</h1>,Published On 3 Jun 2021,"Two weeks after the end of the Israeli bombardment of Gaza, Joe Biden became the first United States president to "
<h1>How the JDA can and cannot advance Palestinian rights</h1>,Published On 4 Jun 2021,"On April 21, before the latest escalation in violence in Israel-Palestine, Professor Mark Muhannad Ayyash "
<h1>‘Shut down news’: Palestinian journalists on the front line</h1>,Published On 2 Jun 2021, – More than a dozen Palestinian journalists were recently arrested by Israeli authorities after attempting to report the news under often “extremely stressful and dangerous” conditions.
<h1>‘No difference’: Palestinians react to Israeli coalition deal</h1>,Published On 3 Jun 2021,"Many Palestinians in the occupied West Bank and Gaza have dismissed a change in the Israeli government, saying the nationalist leader due to replace Prime Minister Benjamin Netanyahu would likely pursue the same right-wing agenda."
<h1>Will Israel be held accountable for war crimes?</h1>,Published On 3 Jun 2021,"Like tens of thousands of people in Gaza, Aymen al-Djaroucha had to flee his home with his family last month during the 11 days of fighting between the Israeli military and Palestinian armed groups, mainly Hamas, which controls the blockaded enclave."
<h1>Israeli police attack Palestinians running to protest expulsions</h1>,Published On 4 Jun 2021,The Palestinian Red Crescent said 23 runners were injured when Israeli police fired tear gas and stun grenades at an activist-organised run in solidarity with Palestinian families facing forced expulsion in occupied East Jerusalem
"<h1>‘Laughable, naive’: Palestinian party’s move to join Israel gov’t</h1>",Published On 5 Jun 2021,The United Arab List (UAL) is set to become the first party of Palestinian citizens of Israel to take part in a governing coalition after it agreed to join the 
<h1>Israel releases Al Jazeera journalist after hours-long arrest</h1>,Published On 5 Jun 2021,Al Jazeera Arabic journalist Givara Budeiri has been released from custody several hours after she was arrested by Israeli police while covering a demonstration in the occupied East Jerusalem neighbourhood of Sheikh Jarrah.
<h1>Is Ireland changing the consensus on Israel-Palestine?</h1>,Published On 4 Jun 2021,"Ireland is the first EU country to condemn “de facto annexation” of Palestinian land. The two-state solution has been conventional wisdom for a generation. As the Israeli political landscape shifts, does Ireland’s move show that reality is intruding on the international consensus?"
<h1>Support for Israel shifts among young US evangelical Christians</h1>,Published On 4 Jun 2021,"After the latest round of conflict between Israelis and Palestinians, American televangelist John Hagee lectured his congregation on consecutive Sundays at the Cornerstone Church in San Antonio, Texas."
<h1>‘Unfathomable’: Activists renew call to end US aid to Israel</h1>,Published On 5 Jun 2021," Palestinian rights advocates in the United States have condemned a recent visit to the US capital by Israeli Defence Minister Benny Gantz, renewing their calls for an end to unconditional US military aid to Israel."
<h1>Israel releases Sheikh Jarrah activists after hours-long arrests</h1>,Published On 6 Jun 2021,"Activists Muna al-Kurd and Mohammed al-Kurd, who have been at the forefront of a campaign to stop the expulsions of Palestinians from occupied East Jerusalem’s Sheikh Jarrah neighbourhood, have been released from custody several hours after they were arrested by Israeli police."
<h1>Al Jazeera denounces Israeli assault and arrest of its journalist</h1>,Published On 5 Jun 2021,Al Jazeera News Channel’s journalist Givara Budeiri was 
"<h1 class=""gallery-header__heading"">The moment Al Jazeera journalist Givara Budeiri was arrested</h1>",Published On 6 Jun 2021,In Pictures
<h1>Al Jazeera journalist leaves hospital day after Israeli arrest</h1>,Published On 6 Jun 2021,Al Jazeera Arabic journalist Givara Budeiri left hospital on Sunday after receiving treatment for injuries sustained during her 
<h1>How the Gaza war affected Palestinian politics</h1>,Published On 7 Jun 2021,"For many Palestinians it was clear that the recent war in Gaza was going to inevitably affect the Palestinian political scene. After all, war is an extension of politics."
<h1>Israel releases Al Jazeera journalist after violent arrest</h1>,Published On 6 Jun 2021,Al Jazeera correspondent Givara Budeiri has been released from custody after being violently arrested by Israeli police while covering a demonstration in occupied East Jerusalem. Edited by Seena Khalil.
<h1>The al-Kurd family – fighting to save their home in Sheikh Jarrah</h1>,Published On 7 Jun 2021,Sheikh Jarrah residents Muna and Mohammed al-Kurd have been released after their arrests by Israeli police on Sunday. The siblings have been at the forefront of the fight against forced expulsions of Palestinian families in occupied East Jerusalem. Edited by Seena Khalil.
<h1>Israeli police bar right-wing march through Jerusalem’s Old City</h1>,Published On 7 Jun 2021,"Right-wing pro-settler Israeli groups have scrapped a controversial march that was to take place this week in Jerusalem after police refused to authorise it, arguing that neither the format nor the timing of the event was suitable given the current levels of tension in Israel."
<h1>What’s behind Ireland’s support for Palestine?</h1>,Published On 7 Jun 2021,"After Abraham Aljamal Phelan moved to Dublin in the late 1980s, many customers at his grocery store, where the shelves were adorned with fresh figs and olives, were up to date with the latest news from his native Palestine."
"<h1>China’s ties with Israel are tested by Gaza, but not sorely</h1>",Published On 7 Jun 2021,"In March 2017, Israeli Prime Minister Benjamin Netanyahu described his country’s bilateral relationship with a superpower as one of nuptial bliss."
<h1>Palestinian village pays high price in defence of its land</h1>,Published On 7 Jun 2021, – This picturesque little town with its narrow winding roads and steep hills dotted with olive trees and stone houses turned into a bloody battleground as Palestinian protesters clashed with Israeli forces over the building of an illegal settlement on their land.
"<h1>‘As the bombs fall, I write’: The poets of Gaza</h1>",Published On 8 Jun 2021,"Children eagerly thumbing through books in the kids section, youngsters scanning the covers, undergraduates searching for a quiet spot to work, others drinking their coffee as they read. The smell of incense. The piles of books. The yellow banner bearing the name Samir Mansour – the library and bookstore that was home to Gaza’s most passionate readers."
<h1>Israel-Palestine: The politics at play | Start Here</h1>,Published On 7 Jun 2021,The bombs and rockets have stopped falling but the problems that divide the Palestinians and Israelis are still there.
<h1>It is high time for Europe to change its approach to Palestine</h1>,Published On 8 Jun 2021,The recent escalation in Israel-Palestine has once again turned the world’s attention to Israel’s 53-year-long occupation and its systemic violations of the most basic human rights of the Palestinian people. It also demonstrated clearly that the strategies the European Union has long been pursuing to try and end the conflict and further its interests in the Middle East are not working and may even be making matters worse.
<h1>Hamas releases audio allegedly of Israeli soldier it holds</h1>,Published On 7 Jun 2021,"Al Jazeera Arabic aired audio of an unidentified person who purported to be an Israeli soldier being held captive by Hamas’s armed branch, the al-Qassam Brigades."
<h1>Longest-serving Jordanian prisoner in Israel arrives back home</h1>,Published On 8 Jun 2021,The longest-serving Jordanian prisoner in an Israeli jail has arrived home after completing a 20-year sentence for planting a bomb on an Israeli bus.
<h1>Israel to allow right-wing march through Jerusalem’s Old City</h1>,Published On 8 Jun 2021,"Israel’s outgoing government has said a controversial march by far-right nationalists and pro-settler groups through occupied East Jerusalem’s Old City will go ahead next week, a decision taken a day after the event was scrapped due to security concerns."
<h1>Israeli attorney general will not intervene in Sheikh Jarrah case</h1>,Published On 7 Jun 2021,Israel’s attorney general has informed the Supreme Court that he will not intervene in the legal proceedings of a high-profile Sheikh Jarrah case in which four Palestinian families in occupied East Jerusalem are facing imminent forced expulsion in favour of Israeli settlement organisations.
<h1>New generation: Israel crackdown spotlights Palestinian ‘icons’</h1>,Published On 9 Jun 2021,It is not the first time that Israel has detained or arrested Palestinian activists. But the mass arrests undertaken since a ceasefire between Israel and Hamas – agreed upon to end the recent cycle of violence – may backfire.
<h1>Groups urge Biden to halt $735m weapons sale to Israel</h1>,Published On 8 Jun 2021,Peace advocates and pro-Palestinian groups in the United States are calling on President Joe Biden to halt a $735m sale of precision-guided bombs to Israel that the Biden administration has fast-tracked.
"<h1 class=""gallery-header__heading"">Lydd: Mixed Jewish-Palestinian city still on edge</h1>",Published On 9 Jun 2021,In Pictures
<h1>Why Israel is so desperate to silence #SaveSheikhJarrah</h1>,Published On 10 Jun 2021,"Over the last month and a half, we have been witnessing what many are calling a new Palestinian uprising. It is being dubbed by some as the “Intifada of Unity” because it brought Palestinians all across colonised Palestine together in resistance. Indeed, they are resisting and demonstrating against settler colonialism and its manifestations in unison across various geographies, from Jerusalem to Gaza."
<h1>Israeli forces kill Palestinian officers in ‘undercover mission’</h1>,Published On 10 Jun 2021,"Israeli forces have shot dead at least three Palestinians, including two Palestinian Authority (PA) military intelligence officers, in a predawn raid in the city of Jenin in the occupied West Bank, Palestinian authorities said on Thursday."
<h1>A question from Ilhan Omar sparks furore in US Congress</h1>,Published On 10 Jun 2021,Democratic leaders in the United States House of Representatives sought to quell a furore among legislators on Thursday over a question Representative Ilhan Omar asked about US opposition to International Criminal Court (ICC) inquiries into alleged war crimes in Israel and Afghanistan.
<h1>Demolishing Palestinian homes for an Israeli religious theme park</h1>,Published On 11 Jun 2021, – Nearly 130 Palestinian families face the destruction of their homes to make way for an Israeli religious theme park where the Israelis believe King David had a garden in biblical times.
<h1>Amnesty raises alarm as Israel shuts Palestinian health provider</h1>,Published On 10 Jun 2021,"Israel’s move to shut down a key healthcare body in the occupied territories will have “catastrophic consequences” for Palestinians in need of medical attention, global rights group Amnesty International warned."
<h1>Bomb disposal squad in Gaza faces risks amid little protection</h1>,Published On 9 Jun 2021,"On May 19, shortly after midnight, a reconnaissance missile tore through the roof of the Muhareb family home in Rafah in the south of the besieged Gaza Strip."
<h1>Gaza’s children traumatised by war</h1>,Published On 11 Jun 2021,"“She lost her family, her mother… it’s a miracle she survived death.” Six-year-old Suzy Eshkuntana was pulled from the rubble of her home after an Israeli air strike three weeks ago. She’s one of thousands of children in Gaza left severely traumatised by 11-days of bombardment. Edited by Juyoung Choi."
<h1>Israel closes case of prison officers filmed beating Palestinians</h1>,Published On 11 Jun 2021,"Israel has closed a case that involved at least 10 Israeli officers who were filmed beating Palestinian inmates, according to an Israeli media report, in what has been described as one of the most violent incidents against prisoners in an Israeli jail."
,,
<h1>How Netanyahu shaped Israel</h1>,Published On 11 Jun 2021,Deposing 
<h1>Gamers rally behind indie charity bundle for Palestinians</h1>,Published On 11 Jun 2021,Palestinian software developer Rasheed Abu-Eideh has been working in games for more than 10 years.
<h1>Palestinians not counting on change as Bennett replaces Netanyahu</h1>,Published On 14 Jun 2021,Palestinian groups have dismissed the 
<h1>Thousands march for Palestinian rights in London amid G7 summit</h1>,Published On 12 Jun 2021,"Thousands of people have attended a pro-Palestine solidarity march in London, calling on the Group of Seven (G7) leaders currently "
<h1>Israel forces kill Palestinian teen at occupied West Bank protest</h1>,Published On 11 Jun 2021,"A Palestinian teenager has been killed by Israeli fire during confrontations between protesters and Israeli troops in the occupied West Bank, Palestinian authorities said."
<h1>Trauma and mental health in Gaza</h1>,Published On 14 Jun 2021,The May 20 ceasefire between the Israeli government and Hamas brought the latest round of conflict in the region to an end and led to a collective sigh of relief from the beleaguered Palestinians of the Gaza Strip.
<h1>From Sheikh Jarrah to Gaza: Journalism under apartheid</h1>,Published On 12 Jun 2021,"Blockade, bombardment and Israeli occupation have not stopped Palestinians from documenting and telling their stories. Now, the world is beginning to listen."
<h1>Israel: Bennett’s win and Netanyahu’s ‘dangerous’ defeat</h1>,Published On 14 Jun 2021,"With a vote in favour of a new coalition led by Naftali Bennett, the Israeli parliament ushered in the end of an era."
<h1>Reckoning with Laughter: Noam Shuster returns to Israel</h1>,Published On 14 Jun 2021,"About to make it big in the US, Israeli comedian Noam Shuster returns home to face her toughest audience yet."
"<h1>Israel swears in new government, ending Netanyahu’s 12-year rule</h1>",Published On 13 Jun 2021,Benjamin Netanyahu’s 
<h1>New Israeli gov’t approves right-wing march through Jerusalem</h1>,Published On 14 Jun 2021,"Israeli far-right groups are expected to participate in a so-called “March of the Flags” through the Damascus Gate of occupied East Jerusalem’s Old City and into its Muslim quarter on Tuesday, drawing warnings from Hamas of renewed hostilities should it proceed."
<h1>Palestinian medics on the front line fighting to save lives</h1>,Published On 15 Jun 2021," – Bassem Sadaqa points at a bullet hole lodged in the driver’s door of the ambulance he drives, tangible evidence of what he says is a regular occurrence of Palestinian medics being “regularly targeted” by Israeli forces."
<h1>New Israeli government an ‘opportunity’ for Biden</h1>,Published On 14 Jun 2021,"The new government in Israel headed by Prime Minister Naftali Bennett presents an opportunity for an easing of political tensions between Israel and the United States as President Joe Biden seeks a return to the Iran nuclear agreement, analysts said."
"<h1>The past, present, and future of Hamas</h1>",Published On 14 Jun 2021,"The Palestinian group Hamas doesn’t fit neatly into the labels some try to fit it into — terrorist, freedom fighter, armed group, political party. On the anniversary of Hamas’s takeover of the Gaza Strip, we’re looking at the context that made the group what it is, and most importantly, how it has affected Palestinians living in Gaza."
<h1>Israeli far-right groups march through occupied East Jerusalem</h1>,Published On 15 Jun 2021,Israeli far-right nationalists took part in a flag-waving march through occupied East Jerusalem on Tuesday that risked reigniting tensions with Palestinians and posed an early challenge for Israel’s new government.
<h1>Ilhan Omar may face censure for words on Israeli war acts</h1>,Published On 15 Jun 2021,Republicans in the United States House of Representatives are looking to exploit a divide among Democrats over support for Israel following 
<h1>Gaza: Protests against Israeli far-right march through Jerusalem</h1>,Published On 15 Jun 2021,Hundreds of Palestinians in the besieged Gaza Strip have protested against a “provocative” 
"<h1>Israel launches air raids on Gaza, first since truce with Hamas</h1>",Published On 15 Jun 2021,Israel launched air raids on the Gaza Strip after Palestinian groups in the besieged enclave sent incendiary balloons into southern Israel.
<h1>Arab states call for UNSC intervention over Ethiopian dam dispute</h1>,Published On 15 Jun 2021,"The foreign ministers of Arab countries have backed calls for the United Nations Security Council to intervene in a long-running regional dispute over a giant dam built by Ethiopia on the Blue Nile, one of the Nile River’s main tributaries."
<h1>Palestinian woman shot dead by Israeli troops near Jerusalem</h1>,Published On 16 Jun 2021,"Israeli forces have shot a Palestinian woman dead allegedly for attempting to carry out a car-ramming attack northeast of Jerusalem, according to the Israeli army."
<h1>Israeli air raids target Gaza for second time since ceasefire</h1>,Published On 17 Jun 2021,Israeli fighter jets have launched a series of air raids on the Gaza Strip for the second time since a shaky ceasefire ended last month’s 11-day war.
<h1>Gaza recycles rubble as Israel upholds ban on construction goods</h1>,Published On 17 Jun 2021," More than a month after Israel launched its deadly offensive on the Gaza Strip, residents are attempting to rebuild following the heavy destruction incurred by missiles and artillery shells."
<h1>Israeli forces attack Al-Aqsa protesters during Prophet rally</h1>,Published On 18 Jun 2021,At least nine Palestinians were hurt after Israeli forces stormed the Al-Aqsa Mosque compound in occupied East Jerusalem on Friday.
"<h1>Dear President Biden, you need to act on Palestine</h1>",Published On 19 Jun 2021,"Dear President Biden,"
<h1>Myanmar coup displaces thousands as global refugee numbers rise</h1>,Published On 18 Jun 2021,"A record 82.4 million people have been displaced around the world in 2020 due to violence and persecution, including an estimated 680,000 in Myanmar following ethnic conflict and the recent military coup, according to the United Nations refugee agency."
<h1>Apartheid by stealth</h1>,Published On 20 Jun 2021,"Meet the new occupier, same as the old occupier."
<h1>Visualising 70 years of refugee journeys</h1>,Published On 20 Jun 2021,"As we entered 2021, there were 82.4 million people around the world displaced by conflict or persecution."
<h1>The myths of British imperial benevolence and Palestine</h1>,Published On 16 Jun 2021,"Last month, as Israeli artillery destroyed buildings in Gaza, one of two slivers of territory into which Palestinians have been squeezed over the last century, the British government was once again "
<h1>Palestinian Authority calls off vaccine exchange with Israel</h1>,Published On 18 Jun 2021,"The Palestinian Authority announced it has cancelled an agreement with Israeli regarding the exchange of Pfizer vaccines, saying the doses are set to expire soon."
<h1>Israeli officer charged in killing of autistic Palestinian</h1>,Published On 17 Jun 2021,Israeli prosecutors on Thursday charged a border police officer with reckless manslaughter in the deadly shooting of an 
<h1>Violations against children in conflict ‘alarmingly high’: UN</h1>,Published On 21 Jun 2021,"Grave violations against children in conflict remain “alarmingly high”, with the coronavirus pandemic increasing their vulnerability to abduction, recruitment and sexual violence, a new United Nations report has found."
<h1>Palestinian families call on Israel to speed up ID process</h1>,Published On 21 Jun 2021,"“I still can’t touch, kiss or hug them.” Some families in the occupied West Bank have spent decades waiting to meet their relatives on the opposite side of the River Jordan due to an Israeli policy that bans family unification. Edited by Seena Khalil."
<h1>Gaza survivors face rebuilding – again – after Israel’s attack</h1>,Published On 21 Jun 2021," – Over the last 12 years, Gaza residents have endured four deadly Israeli attacks, rebuilding after each one and hoping that it would be the last."
<h1>Israel forces target Palestinian demonstrators in East Jerusalem</h1>,Published On 22 Jun 2021,Israeli police used stun grenades and sprayed skunk water on Palestinians overnight in the flashpoint occupied East Jerusalem 
"<h1 class=""gallery-header__heading"">Israeli police attack Palestinian protesters in Sheikh Jarrah</h1>",Published On 22 Jun 2021,In Pictures
<h1>Aid to Palestinians promised by US blocked by Republican senator</h1>,Published On 23 Jun 2021,"A key United States senator is blocking $50m in economic assistance to the Palestinians, undercutting promises of help by Secretary of State Antony Blinken after Israel’s assault on Gaza in May and delaying the much-needed reconstruction of water resources and roads."
<h1>Gaza factions warn Israel delaying aid could reignite fighting</h1>,Published On 23 Jun 2021,Palestinian factions in the Gaza Strip have warned Israel against delays in lifting restrictions imposed on the Hamas-ruled coastal enclave and impeding reconstruction after 
"<h1>Can yoga heal trauma among Palestinians, Lebanese?</h1>",Published On 22 Jun 2021,"In the occupied West Bank, an unexpected source of solace for a traumatised population has emerged in the form of the Farashe (butterfly in Arabic) Yoga Center."
<h1>Palestinian Authority critic dies during arrest by PA</h1>,Published On 24 Jun 2021,An outspoken critic of the Palestinian Authority (PA) who intended to run in parliamentary elections before they were cancelled earlier this year died during his arrest in Hebron by PA forces on Thursday.
<h1>UN urges Israel to ‘immediately’ halt settlement expansion</h1>,Published On 25 Jun 2021,"The United Nations on Thursday accused Israel of flagrantly violating international law by expanding settlements in the occupied West Bank and East Jerusalem, urging the country’s new government to halt their enlargement immediately."
<h1>Palestine’s forgotten oil and gas resources</h1>,Published On 21 Jun 2021,"After Israel’s latest military operation, and the ensuing massive devastation in Gaza, the international community has pledged hundreds of millions of dollars to help with the reconstruction of the Strip. However, a lasting end to conflict between Israel and Palestine will not be possible without long-term investment in Palestine’s economic and human development, running into billions of dollars per year."
<h1>Hamas-UN talks over Gaza’s humanitarian situation have ‘failed’</h1>,Published On 22 Jun 2021,"Hamas’s talks with the United Nations over the humanitarian situation in the Gaza Strip have failed, the group’s leader in the enclave said."
"<h1>Israel allows limited Gaza exports, one month after truce</h1>",Published On 21 Jun 2021,"Israel has allowed a limited resumption of commercial exports from the besieged Gaza Strip in what it called a “conditional” measure, one month after a truce halted an 11-day offensive on the Strip."
<h1>Israeli settlers refuse to vacate illegal West Bank settlement</h1>,Published On 25 Jun 2021,"Tensions in the occupied West Bank have reached boiling point as Israeli settlers continue their expropriation of Palestinian land, in some cases defying Israeli authorities by refusing to evacuate land that Palestinians depend on for their livelihoods."
<h1>Sliman Mansour: The art of the Palestinian resistance</h1>,Published On 26 Jun 2021,The Palestinian master artist discusses art as part of the resistance movement.
<h1>Palestine Monetary Authority mulls digital currency</h1>,Published On 24 Jun 2021,"The Palestinian Monetary Authority is studying the possible issuance of a digital currency, a move that would allow it to strike at least a symbolic blow for monetary independence from Israel."
<h1>Israel and Palestine</h1>,Published On 23 Jun 2021,Portal focuses on some of the bigger issues behind the flare-up in violence in May 2021.
<h1>Palestinians protest against Mahmoud Abbas after activist’s death</h1>,Published On 27 Jun 2021,"Demonstrators clashed with Palestinian security forces during protests in the occupied West Bank over the death of Nizar Banat, an outspoken critic of the Palestinian Authority, who died while in its custody. Edited by Katya Bohdan."
